gene,WT-1_S1,WT-2_S2,WT-3_S3,WT-AC-1_S4,WT-AC-2_S5,WT-AC-3_S6
Gm52121,1,0,0.5,0,1,0
Gm52122,303,303.5,481.5,359.67,477.83,525.33
Gm52123,0,0,0,0,0,0
Gm52124,0,0,0,0,0,0
Gm52125,0,0,0,0,0,0
Gm52127,1,0,0,0,0,0
Gm52128,1.67,0.5,0.5,1.5,1.5,0
Gm52129,6.33,11.83,6.5,16.5,36.5,12.5
Gm52130,0.5,0,0,0.5,1,0
Gm52131,1.5,0,0.5,0,1.5,0
Gm52132,116.5,125.67,117.5,144.5,106,145.5
Gm52133,3.33,3.5,5,0.5,2.5,7.25
Gm52134,0,0,0,0,0,0
Gm52135,46,54.5,63,63.5,62.5,58.5
Gm52136,12,6.5,5,5.5,6,21
Gm52138,21,21,15,19,33,33
Gm52140,109,94,182,174.5,181,180.5
Gm52142,0,0,0,0,0,0
Gm52143,0,0,0,0,0,0
Gm52144,0,0,0,0,0,0
Gm52145,0,0,0,0,0,2
Gm52146,0,0,0,0,0,0
Gm52147,47.5,29.5,88,86.5,266.5,110.83
Gm52148,174.5,109,954,323.5,452.5,235.5
Gm52149,0,0,0,1.5,0,0
Gm5215,1,0,0,0,0,0
Gm52150,0,0,0,0,0,0
Gm52151,0,0,0,0,0,0
Gm52171,0,0,0,3,3.5,2.5
Gm52172,0,0,0,0,0.33,0
Gm52173,0,0,0,0,0,0
Gm52174,0.67,1.33,1.33,0.33,0.67,0.33
Gm52175,0,0,0,0,0,0
Gm52176,0,0.5,0,1,1,0
Gm52178,0.5,0,1,0,3,2
Gm52179,0,0,0,0,0,0
Gm5218,1,1,7,0,0,1
Gm52180,0,0.5,0.5,0,0,0.5
Gm52181,4,5,10,5.5,4.5,6
Gm52182,40.5,31.5,56,40.5,39.5,36
Gm52183,0,0,0,0,0,0
Gm52184,1,0,1,0,0,0
Gm52185,367,360,409,333,242.5,261.5
Gm52186,2636.83,2098.83,3978.17,2603.5,3078.83,2956
Gm52187,0,0,0,0,0,0
Gm52188,0,0,0,0,0,0
Gm52189,2,12,26,5,19,21
Gm52194,0,0,0,0,0,0
Gm52196,0,0,0,0,0,0
Gm52199,1,0,0,0,1,0
Gm52200,6,13,18,5,8,4
Gm52201,0,0,0,0,0,0
Gm52202,1.5,1.5,4,2.5,6,6
Gm52203,0,0,0,0,0,0
Gm52204,2,1.5,2.5,1.5,1.5,3
Gm52205,0,0,0,0,0,0
Gm52206,0,0,0,0,0,0.5
Gm52207,0,0,0,0,0,0
Gm52209,0,0,3,0.5,1.5,1.5
Gm52210,1,2,3,2,4,1.5
Gm52211,0,0,0,0,0,0
Gm52213,6,3,10,3.5,9,8
Gm52214,106,47,132.17,116.67,172.83,165.83
Gm52216,0,0,0,0,0,0
Gm52217,300.5,256.5,314.5,241,214.5,244.5
Gm52229,2.5,1,0,1.5,1,0.5
Gm52230,0,0,0,0,1,0
Gm52231,0.5,0,0.5,0,0.5,1.5
Gm52233,0,0,0,0,0,0
Gm52234,0.5,0,0,0,0.5,0
Gm52235,0,0,0,0,0,0
Gm52237,78.5,51,73,125.5,112,187
Gm52238,0,0,0,0,0,0
Gm52239,117.5,169,142,122.5,109.5,165
Gm52240,30.5,26.5,23,15,17.5,27.5
Gm52241,0.5,0.5,1.5,0.5,0.5,0.5
Gm52242,0,0,0,1,0,0
Gm52243,0,0,0,0,0.33,0.5
Gm52244,0,0,0,0.5,0,0
Gm52245,0,1,0,0,3.5,0.5
Gm52246,0,0,0,0,0,0
Gm52248,0,0,0,0,0.5,0
Gm52250,0,0,0,0,0,0.5
Gm52251,5.5,2.5,5,8,16,9
Gm52252,1.5,0.5,0,0,0.5,0.5
Gm52253,0,0,1,0,0,0
Gm52255,1,0,0,0.5,0,0.5
Gm52257,0,0,0,0,0,0
Gm52258,0,0,0,0,0,0
Gm52260,0,0,0,0,0,0
Gm52261,0.5,0,1.5,0,3,1
Gm52262,3,4.5,5.5,0.5,3.5,6
Gm52263,0,0,0,0,0,0
Gm52264,9,8.5,10.5,6.5,10,10.5
Gm52266,0,0,0,0,0,0
Gm52280,0,0,0.5,0,0,0
Gm52283,43.5,67,142.5,12.5,48.5,26
Gm52284,121,94,161.5,96,90.5,84
Gm52285,323.5,246,506.5,402.5,706.5,691.5
Gm52286,15,9.5,14.5,10,14,17
Gm52287,0.5,0,0,0,0,0
Gm52288,0,0,0,0,0,0
Gm52290,644,479,774,555.5,526,389.5
Gm52291,0,0,0,0,0,0
Gm52292,1,1,0,1,2.5,1
Gm52294,0.5,0.5,0,0.5,1.5,0
Gm52295,0,0,0,0,0,0
Gm52296,132.5,118.5,110,57.5,57.5,60.5
Gm52297,0,2,0,1,1,2
Gm52298,20.08,15.42,29.92,14.83,16.83,21.5
Gm52299,0,0,0,0,1.5,1.5
Gm52300,0,0.5,0,0,0,0
Gm52301,0,0,0,0,0,0
Gm52302,137.5,116,159.5,112.5,130.5,143.5
Gm52303,0.5,0,0.33,0,0.83,0
Gm52304,0,0,0,0,0.5,0.5
Gm52305,0.5,1,0,0.5,0.5,2.5
Gm52306,2,0,0.5,0,0,0.5
Gm52307,447.74,160.75,563.07,1764.31,2590.54,980.65
Gm52308,1736.24,584.91,2557.32,7309.64,12179.04,4470.82
Gm52309,15,13.5,32,4,10.5,21
Gm52310,85,91,122.5,129,111,159
Gm52312,32.5,23,34,19.5,18,29
Gm52313,1,0,0,0,1,0
Gm52315,19.5,16.5,28.5,26,51,39.5
Gm52316,0,1,0,0.33,0,1
Gm52318,15.67,20,30.17,14,30,38.67
Gm52319,0,0,0,0,0,0
Gm52320,0,0.5,0.5,1,0,0
Gm52321,0,0,0,0,2,0
Gm52327,160,122.5,195.5,160.5,148.5,160.5
Gm52328,1,0,0,0,0.5,0.5
Gm52329,11,20,21,2.33,12,13.33
Gm52330,10.5,6,7,7,29,5
Gm52331,2.5,5.5,3.33,1,4.5,2
Gm52332,5.5,2,3,4.33,5,2.83
Gm52333,0,0,0,0,0,0
Gm52334,0,0,0,1,0,0
Gm52336,0,0,0,0,0,0.5
Gm52338,0,0,0,0,0,0
Gm52340,0,0,0,0,2.5,1
Gm52341,0,0,0,0,0,0
Gm52342,0,0,0.5,0,0.5,2
Gm52343,0,0,0,1.5,0.5,2.5
Gm52344,1,0,0.5,0,0,0
Gm52345,0,0,0,0,0,0
Gm52346,0,0,0,0,0,0
Gm52347,0,0,0,0,0,0.5
Gm52348,0.5,2,3.5,4.5,2,1.5
Gm52349,0,0,0,0.5,0,0
Gm52350,2,2,2,1,7,4
Gm52351,0.5,0.5,1,0,0,1.5
Gm52353,76.5,79.83,108.33,89,94,110
Gm52354,18,9,22.5,6,11.5,9
Gm52355,0,0,0,0,1,0
Gm52356,0,0,0,0,0,0
Gm52357,10.5,11.67,12,8.67,15.33,10.33
Gm52358,254,232.5,216.5,188,280.5,242
Gm52359,2,2,6,2,7,3
Gm52360,4.5,5.5,8,6.5,27.5,12
Gm52361,0,0,0,0.5,1,0.5
Gm52362,0,0,0,0.5,1.5,0.5
Gm52364,2,1,9,0,5,4
Gm52380,3071.33,2277.33,3074.67,3472.33,5322,2458.33
Gm52381,0.5,0,0,0,0.5,0.5
Gm52382,0,0,0,0,0,0
Gm52383,49,30.5,34,24,38.5,37.5
Gm52384,0.5,1,0,0,4,1.5
Gm52385,10.5,11.5,18.5,12,20.5,10.5
Gm52386,1,0,0.5,0,1,0
Gm52387,1,0,0,0,1,0
Gm52389,0,0,0,0,0,0
Gm52390,1,3,2.5,5,4,2
Gm52391,0,0,0,0,0,0
Gm52392,0,0,0,0,0,0
Gm52393,27.5,24.5,22,18.5,9,59.5
Gm52394,3,1,1,0,1,2
Gm52395,15.5,6,23,11.67,16.5,20
Gm52396,2.5,0,3,2.5,5,10
Gm52397,240.5,205.5,404,301,325,419.5
Gm52398,0,0,0,0,0,0
Gm52399,7.5,4.5,5.5,9,36,12.5
Gm52400,163.5,143,212,140,158,145.5
Gm52402,1,0,0.5,0.5,1,0
Gm52404,0.5,0,0,0,0.5,0
Gm52405,0,0,0,0.5,0.5,0
Gm52406,250,182,305.5,280.75,444.5,216
Gm52407,0.5,2.5,1.5,2,4.5,2.5
Gm52408,0,0,0,0,1,0
Gm52418,0,0,0,0,0,1
Gm52419,1.33,0.83,0.33,0.33,0.92,0
Gm52421,0,0,0,0,0,0.5
Gm52422,146,145.5,220.5,214,257.5,273.5
Gm52427,2,0,0,0,1,0
Gm52428,0.5,1,1,1.5,2.5,1.5
Gm52430,45,35.5,50.5,37.5,30,34
Gm52431,1,0,2,0.33,0,0
Gm52438,460,418.33,416.83,277.5,263.5,524
Gm52440,10.5,9,7,1,6,6
Gm52444,0,0,0,0,0,0
Gm52447,159.5,171.5,244,213,181.5,250.5
Gm52451,0,0,0,0,0,0
Gm52456,426,388.5,532,428,391,362.5
Gm52481,24.5,10,19,87,249.83,141.5
Gm52482,48.83,42.17,70.67,35,26.33,26.83
Gm52483,0,0.5,0,0,0.5,0
Gm52485,0,0,0,0,0,0
Gm52486,2.5,0.5,3,1.5,1,0
Gm52487,0.5,2,0.5,0.5,0.5,1
Gm52490,3.5,0.5,1,0,0.5,1.5
Gm52493,0,0,0,0.5,0,0
Gm52494,132,88,95,73.5,66.5,63
Gm525,17.83,8.5,17,38.5,191.5,84.5
Gm52500,2,3,6.5,4.5,18,10.5
Gm52502,33.5,21.5,34.5,75,305.83,195
Gm52503,3881.83,3318,4309.5,2869.83,2553.83,2750.83
Gm52504,0,0,0,0,0,0
Gm52505,8.5,14.5,13,7.5,10,11
Gm52506,0,1,0,0,1,0
Gm52507,38.33,27,84,49,50.5,71.5
Gm52508,14,15,11,20,27,21.5
Gm52509,0,1,0,0,1,0
Gm52511,0,0.5,0.5,0.5,4,3
Gm52512,0,0,0,0,0,0
Gm52513,0,0,0,0,0,0.33
Gm52514,0,0.5,0,0,0,0
Gm52515,4,3,2.5,8,14.5,9.25
Gm52518,0,0,0,0,0,0
Gm52519,0,0,0.5,0,0.5,0
Gm52520,71,128,110,104,71,280
Gm52521,0.5,0,0,0,0,0
Gm52522,0,0,0,0,0.5,0
Gm52523,47.5,37.5,46.5,30.5,30,28
Gm52524,33,31,56,39,22.5,54
Gm52525,5,7,6,3.5,6,4
Gm52526,0,0,0,0,0,0
Gm52527,0,0,0,0,0,0
Gm52528,0,0,0,0.5,0,0
Gm52529,1,1,0.5,0,2.5,0.5
Gm52530,0,0,1,0,0,0
Gm52531,3.5,7.5,3,2.5,3,4.5
Gm52532,1605,1497,1805,1213.5,725.5,775.5
Gm52533,0,1,3,3,4,4
Gm52534,1.5,2.5,2.5,4,1,6.5
Gm52536,0,0,0,0,0,0
Gm52537,0,0,0,0,0,0
Gm52538,2,0,3,0.5,2,0.5
Gm52539,0,0,0,0,0,0
Gm52540,0,0,0,1,0,0
Gm52543,0,0.33,0.5,0,0,0
Gm52546,2.5,6,3,33.5,64,102
Gm52547,1,2,1,1,1,1
Gm52548,88,74,112,32.5,27,34
Gm52550,13,13.83,22,13,56.17,74.33
Gm52551,1554,1187,2171.33,2430.5,5575,3943.83
Gm52552,205.5,171.83,273.5,892.5,3255.5,979.5
Gm52553,0,0,0,0,0,0
Gm52554,13,7,13,1,14,8
Gm52555,0,0,0,0,0,0
Gm52556,0,0,0,0,2,1
Gm52558,0,1,0,2.5,1.5,0
Gm52560,2,0,0,0,0.83,0
Gm52561,0,0,0,0,0,0
Gm52562,488,536,668.5,556.5,579,574
Gm52564,0,0,0,0,0,0
Gm52565,6,6,6,3,4,12
Gm52566,0,0,0.33,0,0.33,0
Gm52568,31,19.33,20.5,20,11,19
Gm52569,467,587.5,276.5,320.33,196.5,776.5
Gm52570,3.5,1,8,0,9,6
Gm52571,0.17,2.5,0.5,1.5,0.5,2
Gm52572,0,0,0,0,0,0
Gm52573,0,0,0,0,0,0
Gm52574,0,0,0,0,0,0
Gm52576,0,0,0,0,1,2
Gm52577,0,0,0,0,0,0
Gm5258,0,0,0,1,0,0
Gm52598,1,2,2,0,1,0
Gm52599,0,0,0,0,0,0
Gm52600,79,55.83,62.17,50.67,63.17,42.17
Gm52601,1.5,0.5,0,1.5,4.33,1
Gm52602,1,0,0,0,0,0
Gm52603,67,99,46.5,63,64,194
Gm52604,0,0,0.5,0.5,0,0
Gm52607,0,0,0,0,0,0
Gm52608,0,0,0,0,0,0
Gm52609,1,0,1,1,1,0
Gm52611,0,0,0,0,0,0
Gm52613,0,0,0,0,0,0
Gm52614,0,0.5,0,0,1.5,1
Gm52615,0,0,0,0,0,0
Gm52616,0.5,0,0,0,0,0
Gm52617,0,0.5,0,0,0,1
Gm52618,0,0,0,0,0,0
Gm52620,15,3,6,2,10,9
Gm52621,0,1,0,0,0,0
Gm52623,0,1,0,0,0,0
Gm52625,32,24.5,24,30.5,27,46.5
Gm52626,2,2.5,2,0,1.5,3
Gm52628,1,0,0,0,1,0
Gm52629,2.5,0,0.5,4,13.5,12.5
Gm52630,0,0,0,0,0,0
Gm52631,0.5,1,0.5,2,4.5,7
Gm52633,0,0,0,0,0,0
Gm52634,14.5,12.5,9,12,9,7.5
Gm52635,0,0,0,0,0,0
Gm52636,0,0,0,0,0,0
Gm52637,0,0,0,0,0,0
Gm52639,0,0,0,1,1,0
Gm52666,20,15,10,6,8,18
Gm52667,0.5,1,1,2,5,3
Gm52668,1,1.5,1,1,36,1.5
Gm52669,0,0,1,0,0.5,0
Gm52670,1,1,1.5,1,0.5,1.5
Gm52672,1,0,1,0,0,0
Gm52673,0,0,0,0,0.5,0
Gm52674,3,0.5,2,0,1,4
Gm52675,0,0,0,0,0,0
Gm52676,0,0,0,0,0,0
Gm52677,0.5,0,0,0,0,0
Gm52678,0,0.5,0,0,0,0
Gm52679,68.5,67,63.5,43.5,36,59
Gm52680,2.5,3,1.5,2.5,2,3
Gm52681,28,24,53,14.5,20,21
Gm52682,9,6.5,5.5,7.5,6,9.5
Gm52683,0,2,1.5,0.5,0,2
Gm52684,0,0.5,0,0.5,0.5,0
Gm52685,0,0,0,0,0,0.5
Gm52686,1,1,0.5,1,1,0.5
Gm52687,0,0,0,0,0,0
Gm52688,0,0,0,0.5,0,0
Gm52689,0,0,0,0,0,0
Gm52691,338.5,258,337,315.5,367,375
Gm52692,401.5,381,376,314,263,263.5
Gm52694,0,0,0,0,0,0
Gm52697,0,0,0,0.5,0,0
Gm52698,4.5,2.5,2.5,9.33,23.5,40.5
Gm52699,0.5,0,0,0,0,0
Gm527,113,107.5,123.5,80.5,99,101
Gm52700,0,0,0,0,0,0
Gm52702,3,0.5,2.5,1.5,3,3
Gm52703,96,93.5,187.83,140,110,102
Gm52704,44.5,36.5,62.5,55.5,75.5,60.33
Gm52705,0.5,0.5,0,0,0,0.5
Gm52706,6,4,10,7,6,12
Gm52707,0,0.5,0,0.5,0,0.5
Gm52708,0,0,0,0,0.33,0
Gm52709,1,1,0.5,2,1,1.5
Gm52710,1,0.5,2,0.5,0,1
Gm52711,0,0,0.5,0.33,0,1
Gm52712,0,0,0,0,0,0
Gm52713,3,11,6,3,4,4
Gm52714,6,4,6,4,4,5
Gm52715,0,0,1,0,0,0
Gm52716,0,0,0,0,0,0
Gm52718,2,1,1,1,2,0
Gm52719,0,0,1,0,0,0
Gm52720,0,0,0,0,0,0
Gm52721,0,0,0,0,0,0
Gm52723,66.5,53.5,63,69.5,47.5,46.5
Gm52724,16,15,26,10.33,13.5,23
Gm52725,2,2,0,1,4,0
Gm52726,2,0,0,0,1,0
Gm52727,13,16,18,14,60.5,17.5
Gm52729,1.5,2.5,5.5,3.5,5,1.5
Gm52731,34,25,28,17,17,28
Gm52732,0,0,0.5,1,1,0.5
Gm52733,0,0,0,0,1,0.5
Gm52734,2,0.5,0.5,0.5,4.5,0
Gm52735,0,0,0,0,0,0
Gm52736,0,1,2,1,1,1
Gm52738,4,0,2,2,1,0
Gm52739,2,1,3,5,6,1
Gm52740,0,0,0,0,0,0
Gm52741,42,46,47,9.5,24,43
Gm52742,414.5,326.33,546,287,594.5,259
Gm52743,79.5,74.5,69,46.5,322,109.5
Gm52763,0,0,0,0,0,0
Gm52764,0,0.5,0.5,0.5,0,2
Gm52766,0,0,0,0.5,3,0
Gm52767,2.5,4,8.5,5.5,9.5,8
Gm52770,1.5,0,2.83,1,2,4
Gm52771,2.5,3,4.5,4.5,12.5,7.17
Gm52772,0,0,0,0,0.5,0
Gm52775,0,0,0,0,0,1.5
Gm52777,4,2,2,0.5,1,1
Gm52778,0,1.5,0,1.5,1,0.83
Gm52779,0,0,1,0,0,0
Gm52780,0,0,0.5,0,1.5,1
Gm52781,0,0.5,0,0,0,0.5
Gm52783,1143,887,1079.5,829,801.83,725.5
Gm52785,0.33,0.5,1.33,0,1,1
Gm52786,0,0,0,0,0,0
Gm52788,6,6.5,7,4,5,13
Gm52789,136.5,97,134,166,202.5,185.5
Gm52790,4.33,3,4.5,6.5,4.5,11
Gm52791,0,0,0,0,0,0
Gm52792,0.5,0.5,0.5,0.5,0,2.5
Gm52793,0.33,1,0,0,1,1
Gm52794,2,3,1,1,1,1
Gm52797,45.5,51,49.5,44,59,68
Gm52798,0,0,0,0,0,0
Gm52800,0,3,0,0,3,3
Gm52802,0,0,0,0,0,0
Gm52803,3,0,0,4,4.5,0.5
Gm52804,0,0,0,0,0,0
Gm52805,0,0,0,0,0,0
Gm52806,51,31,73.5,51.5,83,63.5
Gm52807,0,0,0,0,0,0
Gm52808,0,0,0,0,0,0
Gm52810,49.5,36,31.5,37.5,22,58.5
Gm52811,0,0,0,0,0,0
Gm52812,0,0,0.5,0,0,0
Gm52813,0,0,0,0,1,0
Gm52815,0,3,3,4,2,1
Gm52816,2.5,1.5,3.5,2,4.5,4
Gm52817,0,1,1.5,0.5,2.5,1.5
Gm52818,0.5,1.5,0,1,0,1
Gm52819,0,1,0,0,1.5,0.5
Gm52820,0,0,0,0,0,0
Gm52821,1,0,0,0,0,2
Gm52822,0,0.33,0.33,1.33,0.5,1
Gm52823,15,9.5,18,8,19,16
Gm52824,13491.83,10913.67,13794.83,8720.83,7789.67,8770.33
Gm52826,0.5,1.5,1,0,0,1
Gm52827,0,0.5,0,0,0,0
Gm52828,0.5,1,0,0,0,1
Gm52829,0,0,0,0,0,0
Gm52830,0,0,0,0,0.5,0
Gm52831,0,2,0.5,0,0,0
Gm52832,5,3,3,3,5,3.5
Gm52833,0,0.5,0,0,1.5,0
Gm52834,6,5.5,8,4,3.5,15
Gm52857,0.5,0,0,1.5,0.5,1
Gm52858,0,0.5,0.5,1,0.5,1.5
Gm52859,6,9.5,8,4.5,3,6.5
Gm52860,486,399.5,883,306,234,159.5
Gm52861,19,8,14,18,12,14
Gm52863,0,0.5,0,1.5,0,0.5
Gm52864,0,0,0,0,0,0
Gm52865,4,7,7.5,1,1,0
Gm52866,22,15,28,12,13.5,21
Gm52869,0.5,1,1.83,0,0.5,0.5
Gm52870,5,4,6,5,15.5,15
Gm52871,0,0,0,0,0,0
Gm52872,0.5,0,0.5,0,0,0.5
Gm52873,6,4,8,2,3.5,8
Gm52874,0,0,0,0,0,0
Gm52875,0,0,0.5,0,0,0
Gm52877,3707,3575,8310,4889.83,5578,3083.5
Gm52878,9,7,12,5,7,11
Gm52879,0.5,0,0,0,0.5,1
Gm52881,0,0,0,0,0,0
Gm52885,145.5,132.5,181,164,235.5,190.5
Gm52886,2,3,2,4,4,7.5
Gm52888,25.67,46.83,30,30.33,25.17,85.33
Gm52889,26.5,26.5,43,35.5,112,83.5
Gm52890,1,0,0,1,0,0
Gm52892,0,0,1,0,0,0.5
Gm52893,2.5,0,0,2.5,20,8
Gm52895,0.5,1.5,0.5,2,2.5,1
Gm52896,0.5,0,0,0,0,0
Gm52897,92.5,60.5,69.83,77.5,77.5,95.5
Gm52898,0,0,0,0,0,0
Gm52899,46,30,38.5,19.33,25,26.5
Gm52900,1,2,1.5,0.5,3.5,0.5
Gm52901,0,0,0,0.5,0,0
Gm52902,0,0,0,0,0.33,0
Gm52903,0,1,0,0,1,0
Gm52904,0,0,0,0,0,0
Gm52906,0,0,0,0,0.5,0
Gm52907,7,5,10,2,4,4
Gm52910,1.5,1.5,3.5,4.5,7,5
Gm52912,241,238.5,291.5,105.5,94.5,141.5
Gm52913,0,0.5,0,0,0,0
Gm52915,0.5,0,0,0,0,0
Gm52916,0,0,0,0,0,0
Gm52917,1.5,1,0.5,2.5,6,5.5
Gm52918,22.33,14.5,12,7.5,1.5,3
Gm52919,0,2,0,1,0,0
Gm52920,25,14.5,28.5,37.5,63.5,61.17
Gm52922,0,0,1,0,0,1
Gm52923,0,0,0,0,0,0
Gm52924,0,0,1,0.5,0,0
Gm52926,0,0,0.5,0,0,0.5
Gm5296,82.83,79.5,119.5,75.5,116,81
Gm52989,0,0,0,0,0,0
Gm53,0,1,0,0.5,1,1
Gm53042,0,0,1,0,1,0.5
Gm53051,0,0,0,0,1,0
Gm53053,0,0,0,0,1,0
Gm53055,1,0.67,1,1,1,1
Gm53057,0,0,0,0,0,0
Gm53058,0,0.33,0.25,0,0.5,0
Gm53059,1,2,1,0.5,1,0
Gm53062,209,185,170,126.5,120,123
Gm53063,0,0,0,0,0,0
Gm53065,23,25,40,32.5,37,44.5
Gm53066,403,500,972,280,312,316
Gm53067,14.5,20.5,25.5,23.5,47,20.5
Gm5316,0,0,0,0,0,1
Gm53172,0,0,0,0,0,1
Gm53173,1.33,2,0,0.67,0.33,0.33
Gm53174,6,3.83,1.83,2.83,14.5,7.67
Gm53176,1,2,0.5,1,0,0.5
Gm53177,3,0,2,0,0,0
Gm53178,31,30.5,19,19,29,18
Gm53180,0,0,0,0,0,0
Gm53181,0,0,0,0,0,0
Gm53182,0,0,0,0,0,0
Gm53183,27,27.5,71,64.5,211,134
Gm53184,2,0,0,0,0,1
Gm53187,1,0,0,0,0,0
Gm53188,0,0,0,0,0.83,0
Gm53190,7.83,0.5,0.5,1,0,1
Gm53191,3197.67,2783.5,2864.17,3723.83,4036.83,3360
Gm53194,5.5,2.5,2.5,2.5,1.5,1.5
Gm53195,0,2,1,1,0,2
Gm53196,134,111,184,118,77,68
Gm53197,1,0.5,1,0.5,0,1
Gm53198,0,0,0,0,0,0
Gm53199,0,0,0,0,0,0
Gm53200,68.17,62.17,74.17,69.17,31.17,56.33
Gm53201,0,0,0,0,0,0
Gm53202,0,0.5,0,0,0,1
Gm53203,0,0,0,0,0,1
Gm53204,10,6,15,6,18,7
Gm53205,12,17.5,12,9.5,26,25.5
Gm53206,2.5,0,0,0,0,0
Gm53207,126,153,334.5,54,155.5,102
Gm53208,13.5,13.5,25.5,37.5,90.5,86
Gm53209,7,3.5,6,32.5,57.5,58.5
Gm53210,1,2,4.5,0,3,1
Gm53211,0,0,0,0,0,0
Gm53213,3,2.83,3.83,3,4.5,4.17
Gm53214,0,0,0,0,0,0
Gm53215,5,8.5,16,5.5,10,7.5
Gm53216,6.5,2,3,3.5,2,1.5
Gm53217,4,7,4,5,3,11.5
Gm53221,0,0,0,0,0,1
Gm53222,12.5,12.5,31,19,25.5,49
Gm53223,38.5,30,33,30.5,37,25.83
Gm53224,0,0,0,0,5,1
Gm53227,0,0.5,0,0,0,0
Gm53228,3,3,0,1,1,2
Gm53229,0,1,0,0,0,1
Gm53232,0,0,0,0,0,0
Gm53233,346,282.5,267.5,207,308,164
Gm53234,1.5,3,5,3,1,4
Gm53236,0,0,0,0,0,0
Gm53237,0,0,0,0,0,0
Gm53238,0.5,1.5,0.5,1.5,0,1
Gm53240,0,0,0,0,0,0
Gm53242,5.33,3.33,7,5,9.67,7.53
Gm53243,459,355,574,490.33,538.5,455.67
Gm53244,0,0,0,0,0,0
Gm53245,9,10.5,14.5,6.5,13,9
Gm53246,0,0,1,0,0,0
Gm53247,0,0,0,0,0,0
Gm53248,7,19,10,3,7,2
Gm53249,13.5,14.5,35,12,17,28
Gm53251,375.66,257.66,352.16,365.49,781.99,492.16
Gm53253,100.27,132.23,79.73,75.1,50.38,123.93
Gm53255,0,2.5,1,0,0,0.5
Gm53256,19,16,4,7,7.5,8
Gm53257,0,0,0,0,1,0
Gm53258,11,6.5,12.5,6,22.5,8
Gm53259,1,1.5,0.5,0.5,2,0
Gm53260,0,0,0,0,0.5,0
Gm53261,0,0,0,0,0,0
Gm53264,2,0,1,4,2.5,2
Gm53265,0,1,1,2,0,1
Gm53266,0.5,0,0,0,2,0.83
Gm53268,1.5,0.5,0,0,0,0.33
Gm53269,14,15,19.5,10.5,8.5,20.5
Gm53270,0,0,0,0,0,0
Gm53271,14,11,21,14.5,8,3
Gm53273,73,62,64.5,70.5,53,77
Gm53275,0,0,0,0,0,0
Gm53277,0,0,0,0,0,0
Gm53278,0,0.5,0,0.5,1.67,2
Gm53279,3.5,1.5,2.5,0.5,3,1
Gm53280,0,1,1,2,2,1
Gm53281,0,0,0,0,0,0
Gm53282,0,0,0,0,0,0
Gm53283,1259,1151.5,1276.5,1533.5,2021,1467.5
Gm53284,28.5,27,27.5,23,25.5,29.5
Gm53285,12.5,6.5,8,11.5,19.5,29
Gm53286,1,1,2,1,1,0
Gm53287,0,0,0.33,0.5,0,0
Gm53288,0,0,0.33,0,0,0
Gm53289,0,0,0,0,0,0
Gm5329,0,0,0,0,0,0
Gm53290,185.33,199,259.33,84.5,105.5,119.33
Gm53291,0,0,0,0,0,0
Gm53292,1,1,0,0,0,0
Gm53293,0.5,0,0,0,0,0
Gm53294,0,0,5,0,3,2
Gm53295,0.5,0.5,0,0,0,0.5
Gm53296,0,0.5,2,0.5,0.5,0.5
Gm53297,0,0.5,0.5,0,0,0
Gm53298,0,0,0,1,0,1
Gm53299,0,0,0,1,0,0
Gm53300,53,42,80.5,23.5,20,26.5
Gm53301,0,0,0,0,0,0
Gm53302,0,1,0,0,0,0
Gm53303,3,0,0,1,3,1
Gm53304,0,0,0,0,0,0
Gm53305,0,0,0,0,0,0
Gm53306,0,1,0,0,0,0
Gm53307,1,0,0.5,1,1,0
Gm53308,0,0,0,0,0,0
Gm53309,0,0,0,0,0,0
Gm53310,2,1.83,0.5,1.33,6,7.33
Gm53311,0,0.33,0,0.33,0,1.33
Gm53312,0,0,0,0,0,0
Gm53313,0,0,0,0.5,0,0
Gm53314,0,0,0.5,0,0.5,0
Gm53315,0.5,0,0,0,0.5,1
Gm53316,49,56.5,61,27.5,31.5,30
Gm53317,0.5,0,2,1,0.5,0
Gm53318,0,2,0,1,2,1
Gm53319,0,0,0,0,0,0
Gm53320,0.5,1,0.5,0,0,1
Gm53321,2.5,3,2.5,1,0.5,5
Gm53322,0,0.5,0.5,0,0,0
Gm53325,1,3,0,1,0,5
Gm53326,0,0,0,0,0,0
Gm53327,1,0,0,1,2,0
Gm53328,0,0,0,0,0,0
Gm53329,1,0,0,0,0,0
Gm53330,0,1,1,0,0,0
Gm53331,841,774,659.5,745,879,695
Gm53332,18.5,15,10.5,14,16,16
Gm53334,0,0,0,0,0,0
Gm53335,0,0,0,0,3,0
Gm53336,11.5,10,16,5.5,15,6
Gm53337,0,0,0,0,0,0
Gm53338,0,0,0,0,0,0
Gm53339,0,0,0.33,1,1.5,1
Gm5334,0,0,0,0,0,0
Gm53340,0,0,0,0,0,0
Gm53341,0,1,0,0.5,1.5,2
Gm53342,61.5,53.5,51.67,84,290.5,167
Gm53343,0.5,1,1,6,29.5,5.5
Gm53344,5.5,4,7,2,3.5,7.5
Gm53345,1,2,4.5,2,0,0
Gm53346,0.5,1,0.5,1.5,2.5,4
Gm53347,2.5,1.5,1.5,3.5,10,4.33
Gm53348,0,0,0,0,0,0
Gm53349,11.5,10,13,3,3.5,3.5
Gm53350,69.5,57.5,92.5,45,78.5,57
Gm53351,0,1,2,2,4,0
Gm53352,0,0,0,0,0,0
