gene,SRR13422665,SRR13422666,SRR13422667,SRR13422668,SRR13422669,SRR13422670,SRR13422671,SRR13422672
Garin3,0,0,0,0,0,0,0,0
Garin4,3,4,0,8,0,0,0,0
Garin5a,5,20,6,8,4,23,14,14
Garin5b,0,0,0,0,0,0,0,0
Garnl3,50,52,44,63,110,89,59,121
Garre1,1184,1084,914,1221,1296,1611,842,1389
Gars1,1187,1207,1073,1519,1085,1851,1079,1603
Gart,426,501,382,593,450,687,418,700
Gas1,184,65,131,195,152,116,91,233
Gas2,35,40,46,62,41,109,46,109
Gas2l1,605,621,413,799,625,842,461,931
Gas2l2,0,0,0,0,0,0,0,0
Gas2l3,3670,2870,2520,3139,2343,3252,1614,2721
Gas5,2383,2291,2161,2954,2495,3199,1975,3890
Gas6,1166,1047,1001,1668,6113,10833,5395,9935
Gas7,2638,2005,2109,3141,2350,2318,1761,3069
Gas8,159,142,137,195,129,169,89,181
Gask1a,0,0,0,0,3,0,0,1
Gask1b,909,1117,761,1129,553,856,459,556
Gast,0,0,0,0,0,0,0,0
Gata1,0,0,3,14,0,0,0,0
Gata2,200,162,94,255,73,99,42,77
Gata3,40,36,27,54,37,20,9,17
Gata3os,0,0,0,1,0,1,0,0
Gata3un,0,1,0,0,0,1,0,0
Gata4,7,21,13,12,6,14,3,9
Gata5,5,8,7,20,3,16,0,3
Gata5os,0,0,0,0,0,0,0,0
Gata6,959,743,566,947,594,729,292,750
Gata6os,1,2,3,0,0,7,0,8
Gatad1,1390,1153,1097,1297,1200,2144,1253,1930
Gatad2a,1195,1003,1002,1240,1148,1754,1084,1522
Gatad2b,2683,2295,2227,3023,2347,2785,1918,3606
Gatb,88,85,83,67,53,126,69,99
Gatc,274,149,188,243,240,356,238,297
Gatd1,234,186,141,253,164,236,115,255
Gatd3a,558,646,558,827,612,1346,617,1080
Gatm,237,170,139,273,212,508,168,429
Gba1,850,862,660,920,813,1657,861,1280
Gba2,87,92,45,112,83,76,53,97
Gbe1,2643,2774,1885,2548,3308,5454,2488,5027
Gbf1,459,487,425,652,521,758,486,748
Gbgt1,25,0,26,24,0,14,14,26
Gbp10,0,0,0,1,0,0,0,0
Gbp11,0,0,9,10,2,4,0,4
Gbp2,322,323,1493,3215,164,233,196,368
Gbp2b,2,1,49,107,0,2,3,4
Gbp3,287,110,508,775,197,194,164,277
Gbp4,0,0,66,77,10,3,6,27
Gbp5,27,24,268,176,31,43,53,116
Gbp6,20,0,32,11,6,17,8,9
Gbp7,650,416,1655,1925,878,943,936,1387
Gbp8,16,0,77,150,65,10,43,53
Gbp9,138,156,452,769,422,397,389,505
Gbx1,0,0,0,0,0,0,0,0
Gbx2,11,0,0,12,5,13,4,8
Gc,0,0,0,0,0,0,0,0
Gca,179,200,185,273,143,234,119,208
Gcat,37,67,44,43,61,132,87,106
Gcc1,228,250,179,256,230,316,169,347
Gcc2,1653,1592,1689,2194,1585,2502,1669,2563
Gcdh,87,55,95,71,58,92,73,119
Gcfc2,195,146,153,203,199,245,168,234
Gcg,0,0,0,0,0,4,0,0
Gcgr,0,0,0,0,0,0,0,0
Gch1,645,734,582,872,658,999,486,985
Gchfr,0,0,0,5,0,7,0,1
Gck,4,0,1,0,0,0,0,1
Gckr,0,0,0,0,0,0,0,0
Gclc,1921,2197,1624,1931,1850,2601,1419,2373
Gclm,5153,6968,5149,4908,5017,8334,3950,5857
Gcm1,0,0,0,0,0,0,0,0
Gcm2,0,0,0,0,4,14,2,2
Gcn1,280,251,205,273,209,383,195,327
Gcna,0,0,2,0,0,0,0,0
Gcnt1,327,293,235,324,610,869,258,511
Gcnt2,105,51,63,111,82,64,30,59
Gcnt3,0,0,0,5,0,0,0,0
Gcnt4,0,2,0,5,8,2,3,1
Gcnt7,3,5,2,3,4,9,0,5
Gcsam,0,0,1,14,0,1,3,7
Gcsh,410,479,468,482,606,1068,502,820
Gda,5368,3133,5847,9477,23825,18406,15293,34083
Gdap1,0,3,1,7,0,2,0,4
Gdap10,630,483,415,694,329,305,299,495
Gdap1l1,3,0,0,1,9,0,6,4
Gdap2,367,320,370,500,374,689,407,618
Gde1,1031,910,758,1141,1043,1448,792,1113
Gdf1,0,0,0,0,0,0,0,0
Gdf10,0,0,0,0,0,2,0,1
Gdf11,17,17,27,34,18,30,16,21
Gdf15,301,333,304,430,785,1437,536,872
Gdf2,3,0,1,0,1,1,0,0
Gdf3,11,15,20,30,14,6,22,21
Gdf5,0,0,0,0,0,0,0,0
Gdf6,0,13,2,4,2,8,3,0
Gdf7,0,0,0,0,0,0,0,0
Gdf9,14,23,14,32,11,19,18,34
Gdi1,327,299,265,417,265,351,205,465
Gdi2,5488,5462,4957,6724,5212,9187,4761,8688
Gdnf,0,0,2,0,6,8,9,0
Gdpd1,945,1045,974,1234,1025,1337,819,1182
Gdpd2,16,1,2,3,2,18,3,11
Gdpd3,114,105,112,103,108,186,100,167
Gdpd4,5,3,5,9,13,28,10,11
Gdpd5,27,26,10,14,14,35,16,25
Gdpgp1,46,32,32,48,73,70,52,59
Gem,16,8,10,14,5,5,11,17
Gemin2,48,58,34,68,75,101,44,114
Gemin4,66,117,95,186,187,221,128,206
Gemin5,201,174,132,158,168,148,130,204
Gemin6,58,82,47,87,86,170,42,134
Gemin6-ps,5,0,0,4,1,1,0,0
Gemin7,325,424,321,426,341,503,320,574
Gemin8,43,4,4,20,16,7,3,27
Gen1,84,63,82,126,194,555,326,410
Get1,248,335,283,393,293,497,274,433
Get3,419,318,315,394,337,652,304,431
Get4,68,76,38,60,45,69,26,68
Gfap,0,0,1,0,0,17,4,1
Gfer,340,389,306,366,351,605,294,611
Gfi1,4,0,4,6,9,18,2,7
Gfi1b,0,0,1,0,0,0,0,0
Gfm1,419,319,269,363,417,644,372,591
Gfm2,237,286,220,356,279,471,225,311
Gfod1,145,167,144,199,251,163,76,136
Gfod2,14,13,5,16,18,25,17,23
Gfpt1,930,710,784,1034,935,1343,810,1323
Gfpt2,82,20,27,52,44,45,25,20
Gfra1,0,3,0,7,3,3,3,1
Gfra2,55,36,30,38,17,39,15,28
Gfra3,0,0,0,0,0,0,0,0
Gfra4,13,15,0,1,32,58,21,47
Gfral,0,0,0,0,0,0,0,0
Gfus,291,213,252,374,296,491,228,409
Gfy,0,0,0,0,0,0,0,0
Gga1,733,810,639,922,677,1087,648,1208
Gga2,570,487,496,620,527,1040,537,802
Gga3,1126,979,1066,1349,1043,1388,694,1586
Ggact,51,28,46,53,49,151,71,88
Ggct,163,128,182,238,137,216,166,189
Ggcx,105,72,75,144,122,180,104,141
Ggh,1254,1086,815,1135,1009,1503,856,1692
Ggn,7,4,4,5,9,6,6,10
Ggnbp1,2,15,6,22,7,4,4,6
Ggnbp2,4100,4140,3845,4714,4388,6200,3512,6755
Ggnbp2os,121,70,51,92,33,43,46,92
Ggps1,974,882,912,1238,1199,1422,927,1527
Ggt1,0,0,0,0,0,0,0,0
Ggt5,21,44,46,48,100,79,55,155
Ggt6,0,0,0,0,0,0,0,0
Ggt7,0,5,0,0,0,0,0,2
Ggta1,318,242,283,367,570,654,274,625
Gh,0,0,0,2,0,0,0,1
Ghdc,354,274,250,275,272,649,337,519
Ghitm,3142,3363,3020,3952,3571,5955,2682,5064
Ghr,59,56,34,34,47,69,52,48
Ghrh,0,1,1,2,0,4,0,0
Ghrhr,0,0,0,0,0,0,0,0
Ghrl,0,0,0,0,0,0,0,0
Ghsr,0,0,0,0,0,0,0,0
Gid4,317,200,212,343,247,320,214,356
Gid8,928,838,860,1147,937,1486,782,1352
Gigyf1,1031,872,774,1389,1122,1145,717,1277
Gigyf2,1012,1166,1114,1326,1252,1502,1136,1692
Gimap1,45,39,61,94,39,75,100,76
Gimap3,45,6,26,87,26,44,84,98
Gimap4,82,7,77,138,101,126,153,181
Gimap5,49,11,43,91,44,14,67,79
Gimap6,79,41,71,122,85,100,104,218
Gimap7,3,4,16,8,9,15,22,16
Gimap8,45,4,36,77,35,38,36,77
Gimap9,114,44,93,163,103,186,158,206
Gimd1,0,0,0,0,0,0,0,0
Gin1,88,108,117,122,129,242,156,235
Ginm1,610,423,462,673,552,713,391,771
Gins1,100,95,61,123,172,444,212,323
Gins2,114,107,108,182,277,822,250,477
Gins3,101,73,100,125,140,250,162,264
Gins4,276,277,261,402,268,708,336,559
Gip,0,0,0,0,0,0,0,0
Gipc1,302,250,247,325,358,571,309,485
Gipc2,14,11,6,1,11,4,0,11
Gipc3,0,0,3,9,0,0,0,1
Gipr,0,0,3,0,0,0,0,0
Git1,265,238,285,338,240,365,174,397
Git2,1130,932,892,1203,989,1593,1006,1569
Gja1,177,114,88,154,74,104,65,113
Gja10,1,0,0,0,0,0,0,0
Gja3,0,0,0,0,0,0,0,0
Gja4,0,0,0,6,0,0,0,0
Gja5,0,0,0,0,0,0,0,0
Gja6,8,0,0,0,0,0,0,1
Gja8,0,0,0,0,0,0,0,0
Gjb1,0,0,0,0,0,0,0,0
Gjb2,0,0,0,0,0,0,0,0
Gjb3,176,132,105,205,54,104,47,104
Gjb4,24,7,21,21,4,16,6,15
Gjb5,38,33,41,39,17,8,9,22
Gjb6,0,0,0,0,0,0,0,0
Gjc1,52,67,20,38,41,53,19,36
Gjc2,0,0,0,0,0,2,0,0
Gjc3,0,0,0,0,0,0,0,1
Gjd2,0,0,0,0,0,0,0,0
Gjd2os,0,0,0,0,0,0,0,0
Gjd3,0,0,0,0,0,0,0,0
Gjd4,0,0,0,0,0,0,0,0
Gje1,0,0,0,0,0,0,0,0
Gk,443,424,303,489,618,757,507,921
Gk2,0,0,0,0,0,0,0,0
Gk5,107,102,77,117,72,122,43,121
Gkap1,698,698,586,796,570,1004,530,1096
Gkn1,0,0,0,0,0,0,0,0
Gkn2,0,0,0,0,0,0,0,0
Gkn3,0,0,0,0,0,0,0,0
Gla,1840,1689,1651,2161,1784,2464,1297,1750
Glb1,2278,2160,1569,2446,2397,3533,1712,3811
Glb1l,141,83,66,112,77,139,71,145
Glb1l2,0,0,0,0,0,3,2,9
Glb1l3,0,0,0,0,0,0,0,0
Glcci1,390,384,427,461,308,361,305,460
Glce,299,225,245,415,332,410,232,420
Gldc,0,0,3,0,0,0,0,0
Gldn,0,0,0,0,0,0,0,0
Gldnos,0,0,0,0,0,0,0,0
Gle1,215,222,168,312,226,371,194,353
Glg1,7269,6451,6400,8079,7759,10536,6984,11281
Gli1,0,0,0,0,0,4,0,0
Gli2,7,0,0,9,2,3,0,0
Gli3,8,48,25,55,21,31,21,31
Glipr1,9935,10461,8277,9700,5048,7776,3665,5784
Glipr1l1,34,26,38,50,112,228,72,201
Glipr1l2,0,0,0,0,0,0,0,1
Glipr1l3,0,0,2,2,1,9,0,1
Glipr2,130,135,149,261,93,107,92,136
Glis1,1,1,1,13,0,3,2,4
Glis2,77,57,66,88,84,61,45,126
Glis3,48,22,30,28,61,62,35,51
Glmn,148,160,123,204,236,370,199,371
Glmp,1329,1259,1024,1551,1174,2238,1142,1891
Glo1,369,369,333,395,373,579,275,570
Glod4,1076,1051,935,1285,1087,1684,994,1476
Glod5,0,0,0,0,0,0,0,0
Glp1r,0,0,0,0,0,0,0,0
Glp2r,0,0,0,0,0,0,0,0
Glra1,0,0,0,0,0,0,0,0
Glra2,0,0,0,0,0,0,0,0
Glra3,8,0,0,0,0,3,0,0
Glra4,0,0,0,0,4,0,0,0
Glrb,0,0,0,0,0,0,0,0
Glrp1,12,42,9,14,24,49,22,41
Glrx,812,768,592,852,1315,2983,1330,2599
Glrx2,817,836,733,867,957,1439,735,1256
Glrx3,1284,1428,1077,1460,1205,1953,1123,1776
Glrx5,863,833,751,905,987,1560,802,1442
Gls,3167,2835,2771,3462,3299,4344,2948,4634
Gls2,11,6,0,0,0,5,4,0
Glt1d1,0,3,0,0,0,4,0,2
Glt28d2,0,0,0,0,9,1,0,0
Glt6d1,0,0,0,2,0,0,0,0
Glt8d1,731,802,679,962,742,1240,683,1167
Glt8d2,0,0,0,0,3,0,0,0
Gltp,4028,3360,3068,4540,3728,5112,2560,5595
Gltpd2,0,0,0,0,0,0,0,0
Glud1,4085,3526,3789,4945,4569,7467,4014,6483
Glul,7481,6588,6095,9384,7865,12240,5439,11874
Glyat,0,0,0,0,0,0,0,0
Glyatl3,0,0,0,0,0,0,0,0
Glycam1,0,0,0,0,0,0,0,0
Glyctk,11,5,5,22,17,12,6,20
Glyr1,1216,1185,1225,1716,1442,2192,1113,2468
Gm10007,0,0,0,0,0,0,0,0
Gm10013,0,0,0,0,0,0,0,0
Gm10015,1,10,5,5,2,1,4,4
Gm10024,0,0,0,0,0,0,0,0
Gm10029,23,25,17,28,33,30,24,17
Gm10030,0,0,0,0,0,0,0,0
Gm10033,68,81,105,92,103,158,108,203
Gm10044,0,0,2,0,0,0,0,0
Gm10046,0,0,2,0,7,0,0,0
Gm10048,0,0,0,0,0,0,0,1
Gm10052,5,1,5,0,3,2,0,8
Gm10058,0,0,0,0,0,0,0,0
Gm10061,0,0,0,0,0,0,0,0
Gm10069,0,0,0,0,7,3,3,0
Gm10087,0,0,0,5,7,6,1,16
Gm10096,0,0,0,0,0,0,0,0
Gm10100,0,0,0,0,0,0,0,0
Gm10109,0,0,0,0,0,0,0,0
Gm10142,0,0,0,0,0,0,0,0
Gm10144,0,0,1,0,0,0,2,0
Gm10145,2,22,9,13,7,10,2,16
Gm10147,0,0,0,0,0,0,0,0
Gm10157,14,31,25,50,40,28,25,51
Gm10190,8,0,5,7,10,20,3,1
Gm10193,1,3,0,0,0,2,1,2
Gm10209,0,0,0,2,0,0,0,1
Gm10220,0,0,0,0,0,0,0,0
Gm10224,318,298,327,472,329,473,264,428
Gm10228,0,0,0,0,0,0,0,0
Gm10229,0,0,0,0,0,0,0,0
Gm10230,0,0,0,0,0,0,0,0
Gm10244,1,1,0,0,1,0,3,1
Gm10248,0,0,0,0,0,0,0,0
Gm10253,0,0,0,0,0,0,0,0
Gm10258,2,0,0,0,0,0,0,0
Gm10267,0,0,0,0,0,0,0,0
Gm10272,0,0,0,0,0,0,0,0
Gm10277,0,0,0,0,0,0,0,0
Gm10280,0,0,0,0,0,0,0,0
Gm10283,0,0,0,0,0,0,0,0
Gm10287,0,0,1,0,0,0,2,0
Gm10305,47,32,27,36,50,19,35,43
Gm10310,0,0,0,0,0,0,0,0
Gm10318,0,0,0,0,0,0,0,0
Gm10319,0,0,2,0,0,0,0,0
Gm10320,6,12,11,9,7,8,14,12
Gm10322,0,0,0,0,0,0,0,0
Gm10323,0,0,0,0,0,0,0,0
Gm10336,0,0,0,0,0,0,0,0
Gm10338,0,0,0,0,0,0,0,0
Gm10340,0,0,0,0,0,0,0,0
Gm10353,40,24,26,54,22,30,24,47
Gm10364,1,2,0,1,1,2,0,3
Gm10369,11,3,4,0,0,5,6,9
Gm10371,0,0,0,0,1,2,0,0
Gm10373,0,0,0,0,0,0,0,0
Gm10375,0,0,0,0,0,0,0,0
Gm10376,0,0,0,0,0,0,0,0
Gm10377,0,0,0,0,0,0,0,0
Gm10382,0,0,2,7,8,7,2,4
Gm10384,37,39,20,54,38,74,22,54
Gm10389,0,0,0,0,0,0,0,0
Gm10390,0,0,0,0,0,0,0,0
Gm10392,0,0,0,0,0,0,0,0
Gm10399,23,12,17,31,19,17,14,23
Gm10400,0,0,0,0,0,0,0,0
Gm10406,0,0,0,0,0,0,0,0
Gm10408,0,0,0,0,0,0,0,0
Gm10409,0,0,0,0,0,0,0,0
Gm10410,0,0,0,0,0,0,0,0
Gm10413,0,0,0,0,0,0,0,0
Gm10415,0,0,0,0,0,0,0,0
Gm10416,0,0,1,1,0,3,6,3
Gm10419,0,12,3,5,7,11,1,0
Gm10420,38,19,29,12,25,21,24,35
Gm10421,0,0,0,0,0,0,0,0
Gm1043,4,0,1,0,0,3,1,0
Gm10432,0,0,0,0,0,0,0,0
Gm10433,0,0,0,0,0,0,0,0
Gm10435,0,0,0,0,5,0,0,0
Gm10439,0,0,0,0,0,0,0,0
Gm10440,0,0,0,0,0,0,0,0
Gm10441,0,0,0,0,0,0,2,0
Gm10444,0,0,0,0,0,0,0,0
Gm10445,0,0,0,0,0,0,0,0
Gm10447,0,0,0,0,0,0,0,0
Gm10459,0,0,2,0,0,0,0,0
Gm10461,3,3,1,6,0,1,2,4
Gm10463,0,3,0,1,0,5,1,3
Gm10466,0,0,0,0,0,0,0,0
Gm10475,0,0,0,0,0,0,0,0
Gm10476,0,0,0,0,0,0,0,0
Gm10479,0,0,0,0,0,0,0,4
Gm10482,0,0,0,0,0,0,0,0
Gm10486,0,0,0,0,0,0,0,0
Gm10487,0,0,0,0,0,0,0,0
Gm10488,0,0,0,0,0,0,0,0
Gm10494,0,0,0,0,0,0,0,0
Gm10499,1,1,0,0,1,0,0,0
Gm10505,3,0,0,6,0,3,0,8
Gm10509,36,41,27,45,26,22,19,43
Gm10510,0,0,0,0,0,0,0,0
Gm10512,0,0,0,0,0,0,0,0
Gm10516,6,6,11,9,7,6,2,9
Gm10522,0,4,1,19,0,1,1,5
Gm10523,0,0,0,0,0,0,0,0
Gm10524,0,8,0,2,0,0,0,1
Gm10532,0,0,0,0,0,0,0,0
Gm10536,9,5,9,12,1,16,3,2
Gm10538,0,0,0,0,0,1,0,0
Gm10544,0,0,0,0,0,0,0,0
Gm10545,0,0,0,0,0,0,0,0
Gm10548,0,0,2,7,5,6,4,10
Gm10549,0,0,0,0,0,0,0,0
Gm10556,0,5,0,0,1,0,3,0
Gm10561,2,0,0,0,3,2,1,4
Gm10573,0,0,0,0,0,0,0,0
Gm10575,3,1,0,0,8,1,1,0
Gm10578,0,0,0,0,0,0,0,0
Gm10584,0,0,0,0,0,0,0,0
Gm10589,0,0,2,0,0,0,0,0
Gm10602,3,1,4,3,1,8,0,2
Gm10603,18,2,2,17,0,1,0,1
Gm10610,0,0,0,0,0,0,0,0
Gm10612,0,0,0,0,0,0,0,0
Gm10614,13,3,5,28,7,6,6,19
Gm10615,23,11,6,30,9,12,3,21
Gm10619,0,0,0,0,0,0,0,0
Gm10631,0,0,0,0,0,0,0,0
Gm10634,9,0,0,0,0,0,0,0
Gm10635,0,0,0,0,0,0,0,0
Gm10636,0,4,1,0,1,0,1,0
Gm10637,0,0,0,0,0,0,0,0
Gm10638,5,2,4,5,2,4,1,7
Gm10640,0,0,1,0,0,0,0,0
Gm10642,67,52,63,111,45,86,46,46
Gm10643,73,29,68,98,42,46,29,58
Gm10644,1,1,2,13,6,2,1,21
Gm10646,0,0,0,0,0,0,0,0
Gm10648,0,0,0,0,0,0,0,0
Gm10649,0,0,0,0,0,0,0,0
Gm10652,0,0,0,0,0,0,0,0
Gm10653,2,0,1,1,1,1,3,0
Gm10654,13,0,0,1,2,17,2,9
Gm10655,0,0,1,0,0,1,0,0
Gm10658,6,0,1,1,6,9,6,11
Gm10662,0,0,0,0,0,0,0,0
Gm10665,0,0,0,0,0,0,0,0
Gm10668,0,0,0,0,0,0,0,0
Gm10670,0,0,0,0,0,0,0,0
Gm10677,0,0,0,0,0,0,0,0
Gm10683,0,0,0,0,0,0,0,0
Gm10684,0,0,0,0,0,0,0,0
Gm10685,0,0,0,0,0,0,0,0
Gm10687,0,0,0,1,0,0,1,0
Gm10690,0,0,0,0,0,0,0,2
Gm10693,10,4,28,5,4,9,11,6
Gm10699,0,0,0,0,0,0,0,0
Gm1070,8,3,7,21,5,10,10,18
Gm10701,0,0,0,0,8,0,0,0
Gm10706,0,0,0,0,0,0,0,0
Gm10710,0,0,0,0,0,0,0,0
Gm10714,2,0,1,0,0,0,0,0
Gm10723,0,0,0,0,0,0,1,0
Gm10731,0,0,0,0,0,0,0,0
Gm10732,0,0,0,0,0,0,0,0
Gm10734,1,0,7,5,0,1,5,5
Gm10741,0,0,0,0,0,0,0,0
Gm10745,0,0,0,0,0,0,0,0
Gm10747,0,0,0,0,0,0,2,0
Gm10752,2,0,0,4,0,0,1,3
Gm10754,0,0,0,0,0,0,0,0
Gm10768,0,0,0,0,0,0,0,0
Gm10775,0,0,0,0,0,0,0,0
Gm10777,34,49,36,59,39,48,68,79
Gm10778,4,0,0,2,0,9,0,0
Gm10782,0,3,0,2,0,0,0,1
Gm10785,16,8,2,0,7,10,10,18
Gm10787,0,0,0,0,0,0,0,0
Gm10789,0,0,0,0,0,0,0,0
Gm10790,1,0,0,0,0,2,0,1
Gm10791,0,4,0,5,0,0,2,3
Gm10804,0,0,0,0,0,0,0,0
Gm10814,11,0,1,3,0,8,5,8
Gm10822,0,0,0,0,0,0,0,1
Gm10823,0,0,0,0,0,0,0,0
Gm10824,0,0,0,0,0,0,0,0
Gm10825,0,0,0,0,0,0,0,0
Gm10829,0,0,0,0,0,0,0,0
Gm10830,0,0,0,0,0,0,0,0
Gm10832,0,0,0,0,0,0,0,0
Gm10840,0,0,0,0,0,0,0,6
Gm10845,0,4,0,0,1,0,0,1
Gm10847,0,0,0,0,0,0,0,0
Gm10851,0,0,0,0,0,0,0,0
Gm10856,0,0,0,0,0,0,0,0
Gm10857,0,0,0,0,0,0,0,0
Gm10858,0,0,0,0,0,0,1,0
Gm10860,0,0,0,0,0,0,0,0
Gm10863,19,14,12,19,22,16,21,42
Gm10865,1,0,0,0,0,0,0,0
Gm10874,0,0,0,0,0,0,0,3
Gm10910,21,27,8,28,13,18,12,34
Gm10913,0,0,2,4,0,2,0,0
Gm10941,0,6,6,13,2,7,4,12
Gm1096,0,0,0,0,0,0,0,0
Gm10961,0,0,0,0,0,0,0,0
Gm11007,0,0,0,0,0,0,0,0
Gm11009,0,0,0,0,0,0,0,0
Gm1110,0,0,0,0,0,0,0,0
Gm11100,0,0,0,0,0,0,1,2
Gm11110,27,11,9,18,62,28,29,56
Gm11149,0,0,0,0,0,0,0,0
Gm11166,1,0,0,0,0,0,0,0
Gm11184,0,0,0,0,0,0,0,0
Gm11186,0,0,0,0,0,0,0,0
Gm11190,0,0,0,0,0,0,0,0
Gm11201,0,0,0,0,0,0,0,1
Gm11205,0,0,0,0,0,0,0,0
Gm11210,0,0,3,0,0,0,0,0
Gm11211,0,0,0,0,0,0,0,0
Gm11217,0,0,0,0,0,0,0,0
Gm11228,0,0,0,0,0,0,0,0
Gm1123,0,0,12,0,0,4,0,0
Gm11232,0,0,0,0,0,0,0,0
Gm11240,0,0,0,0,0,0,0,0
Gm11264,0,0,0,0,0,0,0,0
Gm11266,0,0,0,0,0,2,0,0
Gm11267,0,0,0,0,0,0,0,0
Gm11269,0,0,0,1,0,0,0,0
Gm11274,0,0,0,0,0,0,0,0
Gm11292,0,0,0,0,0,0,0,0
Gm11335,0,0,0,1,0,0,0,0
Gm11337,0,0,0,0,0,0,0,0
Gm11342,0,0,0,0,0,0,0,0
Gm11346,0,2,5,0,3,6,1,6
Gm11351,0,0,0,0,0,0,0,0
Gm11377,0,0,0,0,0,0,0,0
Gm11379,0,0,0,0,0,0,0,0
Gm11381,0,0,0,0,0,0,0,0
Gm1140,0,0,0,0,0,0,0,0
Gm11412,0,0,0,0,2,0,0,0
Gm11413,0,0,0,0,0,0,0,0
Gm11415,9,1,0,1,1,8,2,6
Gm11418,0,0,0,0,0,0,0,0
Gm11419,0,0,0,0,0,0,0,0
Gm11423,16,39,18,48,28,38,37,38
Gm11426,0,0,0,0,0,0,0,0
Gm11430,0,0,0,1,1,0,1,1
Gm11437,0,0,0,0,0,0,0,0
Gm11454,0,0,2,6,0,0,0,0
Gm11465,0,0,0,0,1,0,3,0
Gm11468,0,0,0,0,0,0,0,0
Gm11476,0,0,0,5,6,0,0,2
Gm11478,111,97,102,129,98,158,92,140
Gm11482,0,0,0,0,0,0,0,0
Gm11494,0,0,0,0,0,0,0,0
Gm11496,0,0,0,0,0,0,0,0
Gm11497,0,0,0,0,0,0,0,0
Gm11513,0,0,0,0,0,0,0,0
Gm11515,0,0,2,0,0,0,0,0
Gm11517,3,2,1,3,7,5,6,24
Gm11520,0,0,0,0,0,16,0,0
Gm11523,0,0,0,0,0,0,0,0
Gm11525,0,0,0,3,1,1,0,0
Gm11529,0,0,0,0,0,0,0,0
Gm11532,21,2,14,5,4,3,3,3
Gm11536,0,0,0,0,0,0,0,0
Gm11538,7,12,0,11,4,9,0,1
Gm11541,0,0,0,0,0,5,0,0
Gm11543,0,0,0,0,0,0,0,0
Gm11544,0,0,0,0,0,0,0,0
Gm11545,0,14,2,4,2,9,6,3
Gm11546,0,0,0,0,0,0,0,0
Gm11548,0,0,0,0,0,0,0,0
Gm11554,0,0,0,0,0,0,0,0
Gm11555,0,0,0,0,0,0,0,0
Gm11559,0,0,0,0,0,0,0,0
Gm11562,0,0,0,0,0,0,0,0
Gm11563,0,0,0,0,0,0,0,0
Gm11564,0,0,0,0,0,0,0,0
Gm11565,0,0,0,0,0,0,0,0
Gm11567,0,0,0,0,0,0,0,0
Gm11568,0,0,0,0,0,0,0,0
Gm11569,0,0,0,0,0,0,0,0
Gm11571,0,0,0,0,0,0,0,0
Gm11578,1,0,0,0,0,0,0,0
Gm11586,0,0,0,0,0,0,0,0
Gm11587,0,0,0,0,0,0,0,0
Gm11592,0,0,1,4,2,0,3,2
Gm11595,0,0,0,0,0,0,0,0
Gm11596,0,0,0,0,0,0,0,0
Gm11608,0,0,0,0,0,0,0,0
Gm11613,26,8,8,0,8,3,1,11
Gm11627,0,0,0,0,0,0,0,0
Gm11633,11,4,10,28,20,28,26,26
Gm11650,0,0,0,0,0,0,0,0
Gm11651,0,0,0,0,0,0,0,0
Gm11655,0,0,0,0,0,0,0,0
Gm11657,0,0,0,0,0,0,0,0
Gm11665,7,0,0,0,0,0,2,0
Gm11677,0,0,0,0,0,0,0,0
Gm11681,0,0,0,0,0,0,0,0
Gm11682,0,0,0,0,0,0,0,0
Gm11683,0,0,0,0,0,0,0,0
Gm11685,0,2,0,0,0,2,1,0
Gm11686,0,0,2,8,0,8,3,2
Gm11690,19,0,15,8,16,4,14,21
Gm11691,0,0,0,0,0,0,0,0
Gm11694,11,1,3,7,0,2,0,0
Gm11695,0,0,0,0,0,0,0,0
Gm11696,51,57,36,104,38,48,20,48
Gm11703,8,6,19,15,16,10,4,10
Gm11713,0,0,0,0,0,0,0,0
Gm11714,0,0,0,0,0,0,0,0
Gm11715,0,0,0,0,0,0,0,0
Gm11716,2,0,0,0,0,0,0,0
Gm11723,0,0,0,0,0,10,0,0
Gm11725,5,15,11,10,0,6,5,4
Gm11728,0,0,0,0,0,0,0,0
Gm11729,0,0,0,0,0,0,0,0
Gm11730,0,0,0,0,0,0,0,0
Gm11732,0,0,0,0,0,0,0,0
Gm11733,0,0,0,0,0,1,0,0
Gm11734,0,0,0,0,0,0,0,0
Gm11735,0,0,0,0,0,0,0,11
Gm11738,2,0,0,0,6,0,2,1
Gm11747,1,0,2,0,0,0,0,0
Gm11750,0,0,0,0,1,0,0,0
Gm11753,14,11,1,15,26,16,13,17
Gm11754,0,0,1,0,0,0,0,0
Gm11755,0,0,0,0,0,0,0,0
Gm11762,0,0,0,0,0,0,0,0
Gm11767,20,1,17,5,7,9,7,19
Gm11769,0,23,11,7,4,19,19,35
Gm11770,0,0,0,0,0,0,0,1
Gm11772,68,33,85,175,107,130,100,152
Gm11775,0,0,0,0,0,0,0,0
Gm11780,0,0,0,0,0,0,0,0
Gm11787,2,0,1,0,1,0,0,1
Gm11802,0,0,1,0,0,0,0,0
Gm11810,9,8,6,16,7,26,13,17
Gm11816,0,0,1,0,1,0,0,0
Gm11820,0,0,0,0,0,0,0,0
Gm11823,0,0,0,0,0,0,0,0
Gm11827,1,3,0,0,0,5,1,3
Gm11832,0,0,0,0,0,0,0,0
Gm11837,5,28,8,12,4,11,9,7
Gm11844,0,0,0,0,0,0,0,0
Gm11872,0,0,0,0,0,0,0,0
Gm11884,0,0,0,0,8,1,0,13
